task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f7/0ca732	nf-f70ca732-1732774660122/0/nf-f70ca732-173277-6ded1ca9-df1e-4fec0	NFCORE_SCRNASEQ:SCRNASEQ:GTF_GENE_FILTER (hg38.fa)	COMPLETED	0	2024-11-28 01:17:42.218	2m 43s	57s	28.1%	816.9 MB	823.6 MB	3.6 GB	555 MB
8	c2/ee7d87	nf-c2ee7d87-1732774660293/0/nf-c2ee7d87-173277-91bf0ce2-76bc-432c0	NFCORE_SCRNASEQ:SCRNASEQ:FASTQC_CHECK:FASTQC (scrBT1427)	COMPLETED	0	2024-11-28 01:17:49.651	19m 17s	15m 35s	130.1%	8 GB	63.8 GB	14 GB	3.6 MB
4	05/140c59	nf-05140c59-1732774660276/0/nf-05140c59-173277-74778877-fdce-4ba60	NFCORE_SCRNASEQ:SCRNASEQ:FASTQC_CHECK:FASTQC (BT1377)	COMPLETED	0	2024-11-28 01:17:42.929	26m 42s	25m 1s	141.3%	7.5 GB	63.8 GB	24.7 GB	3.7 MB
2	e8/362af7	nf-e8362af7-1732774660289/0/nf-e8362af7-173277-3a7ea6e6-aa2a-49a30	NFCORE_SCRNASEQ:SCRNASEQ:FASTQC_CHECK:FASTQC (BT1375)	COMPLETED	0	2024-11-28 01:17:47.357	27m 8s	25m 41s	139.0%	8.3 GB	63.8 GB	22.9 GB	3.7 MB
10	51/9469d1	nf-519469d1-1732774660287/0/nf-519469d1-173277-f283aa62-41f5-4a8c0	NFCORE_SCRNASEQ:SCRNASEQ:FASTQC_CHECK:FASTQC (scrBT1429m)	FAILED	1	2024-11-28 01:17:46.645	28m	5m 32s	-	-	-	-	-
12	c0/bb953f	nf-c0bb953f-1732774660281/0/nf-c0bb953f-173277-7770b17c-c335-47050	NFCORE_SCRNASEQ:SCRNASEQ:FASTQC_CHECK:FASTQC (scrBT1432m)	ABORTED	-	2024-11-28 01:17:43.677	-	-	-	-	-	-	-
3	a9/d01a77	nf-a9d01a77-1732774660282/0/nf-a9d01a77-173277-6c2114c9-54e9-403d0	NFCORE_SCRNASEQ:SCRNASEQ:FASTQC_CHECK:FASTQC (BT1376)	ABORTED	-	2024-11-28 01:17:44.377	-	-	-	-	-	-	-
7	1d/e39f26	nf-1de39f26-1732774660284/0/nf-1de39f26-173277-97d2e88c-3040-42340	NFCORE_SCRNASEQ:SCRNASEQ:FASTQC_CHECK:FASTQC (scrBT1426)	ABORTED	-	2024-11-28 01:17:45.025	-	-	-	-	-	-	-
6	0c/03cc21	nf-0c03cc21-1732774660285/0/nf-0c03cc21-173277-b0db309b-d720-45230	NFCORE_SCRNASEQ:SCRNASEQ:FASTQC_CHECK:FASTQC (scrBT1425)	ABORTED	-	2024-11-28 01:17:45.945	-	-	-	-	-	-	-
9	8b/1c4cf1	nf-8b1c4cf1-1732774660291/0/nf-8b1c4cf1-173277-84b5b4ab-89d9-43500	NFCORE_SCRNASEQ:SCRNASEQ:FASTQC_CHECK:FASTQC (scrBT1428)	ABORTED	-	2024-11-28 01:17:48.111	-	-	-	-	-	-	-
11	28/a86a8d	nf-28a86a8d-1732774660291/0/nf-28a86a8d-173277-a83ad2fa-dd30-40f10	NFCORE_SCRNASEQ:SCRNASEQ:FASTQC_CHECK:FASTQC (scrBT1430m)	ABORTED	-	2024-11-28 01:17:48.987	-	-	-	-	-	-	-
5	cc/f35958	nf-ccf35958-1732774660294/0/nf-ccf35958-173277-ce3160eb-ed28-461c0	NFCORE_SCRNASEQ:SCRNASEQ:FASTQC_CHECK:FASTQC (BT1378)	ABORTED	-	2024-11-28 01:17:50.261	-	-	-	-	-	-	-
13	17/27b0e2	nf-1727b0e2-1732774826170/0/nf-1727b0e2-173277-c492263f-3437-4e390	NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_GENOMEGENERATE (hg38.fa)	ABORTED	-	2024-11-28 01:20:26.792	-	-	-	-	-	-	-
